oz0	cumleSay
oz1	kelimeSay
oz2	harfSay
oz3	devrikCumle
oz4	ekSay
oz5	cumleOrtKelime
oz6	kelimeOrtHarf
oz7	cumleOrtEK
oz8	kelimeOrtEK
oz9	ucNoktaSay
oz10	noktaSay
oz11	soruSay
oz12	unlemSay
oz13	boslukSay
oz14	virgulSay
oz15	noktaliVirgulSay
oz16	ikiNoktaSay
oz17	tirnakSay
oz18	ustCizgiSay
oz19	TIP_TF_IS
oz20	TIP_TF_FI
oz21	TIP_TF_SI
oz22	TIP_TF_SA
oz23	TIP_TF_YA
oz24	TIP_TF_ZA
oz25	TIP_TF_SO
oz26	TIP_TF_IM
oz27	TIP_TF_ZAMAN
oz28	TIP_TF_HATALI
oz29	TIP_TF_EDAT
oz30	TIP_TF_BAGLAC
oz31	TIP_TF_OZ
oz32	TIP_TF_UN
oz33	TIP_TF_KI
oz34	KOKTFfener
oz35	KOKTFcumhuriyet
oz36	KOKTFgelir
oz37	KOKTFborç
oz38	KOKTFiki
oz39	KOKTFkatý
oz40	KOKTFbaþkan
oz41	KOKTFaziz
oz42	KOKTFyýldýrým
oz43	KOKTFkulüp
oz44	KOKTFya
oz45	KOKTFkadar
oz46	KOKTFmilyon
oz47	KOKTFdolar
oz48	KOKTFöde
oz49	KOKTFbulun
oz50	KOKTFsöyle
oz51	KOKTFancak
oz52	KOKTFda
oz53	KOKTFbekle
oz54	KOKTFaçýkla
oz55	KOKTFekonomi
oz56	KOKTFservis
oz57	KOKTFyýl
oz58	KOKTFmukavele
oz59	KOKTFbaðla
oz60	KOKTFol
oz61	KOKTFbelir
oz62	KOKTFayný
oz63	KOKTFsüre
oz64	KOKTFve
oz65	KOKTFal
oz66	KOKTFvar
oz67	KOKTFþu
oz68	KOKTFant
oz69	KOKTFalacak
oz70	KOKTFbir
oz71	KOKTFara
oz72	KOKTFgetir
oz73	KOKTFhep
oz74	KOKTFartý
oz75	KOKTFde
oz76	KOKTFsportif
oz77	KOKTFaþ
oz78	KOKTFhisse
oz79	KOKTFhalka
oz80	KOKTFarz
oz81	KOKTFilgi
oz82	KOKTFyapý
oz83	KOKTFanlaþma
oz84	KOKTFimza
oz85	KOKTFtören
oz86	KOKTFaçý
oz87	KOKTFhalk
oz88	KOKTFtema
oz89	KOKTFgösteri
oz90	KOKTFsun
oz91	KOKTFyap
oz92	KOKTFkonuþ
oz93	KOKTFbirlikte
oz94	KOKTFdaha
oz95	KOKTFbüyü
oz96	KOKTFilk
oz97	KOKTFhedef
oz98	KOKTFyani
oz99	KOKTFbütçe
oz100	KOKTFyarat
oz101	KOKTFarka
oz102	KOKTFbu
oz103	KOKTFtaþý
oz104	KOKTFsaðla
oz105	KOKTFyatýrým
oz106	KOKTFönce
oz107	KOKTFaç
oz108	KOKTFkarar
oz109	KOKTFülke
oz110	KOKTFgeçir
oz111	KOKTFzor
oz112	KOKTFgün
oz113	KOKTFneden
oz114	KOKTFbugün
oz115	KOKTFuygula
oz116	KOKTFkaydet
oz117	KOKTFsonra
oz118	KOKTFsoru
oz119	KOKTFyanýtla
oz120	KOKTFelde
oz121	KOKTFet
oz122	KOKTFgelecek
oz123	KOKTFiçin
oz124	KOKTFkullan
oz125	KOKTFhiçbir
oz126	KOKTFyönet
oz127	KOKTFþekil
oz128	KOKTFtahsil
oz129	KOKTFsatýþ
oz130	KOKTFgaranti
oz131	KOKTFgenel
oz132	KOKTFmüdür
oz133	KOKTFhakan
oz134	KOKTFateþ
oz135	KOKTFgerçek
oz136	KOKTFyükle
oz137	KOKTFiçer
oz138	KOKTFkontrat
oz139	KOKTFbütün
oz140	KOKTFsatý
oz141	KOKTFhenüz
oz142	KOKTFkonsorsiyum
oz143	KOKTFoluþ
oz144	KOKTFocak
oz145	KOKTFborsa
oz146	KOKTFdeniz
oz147	KOKTFcafer
oz148	KOKTFhafta
oz149	KOKTFiçeri
oz150	KOKTFbaþvur
oz151	KOKTFayýn
oz152	KOKTFyarý
oz153	KOKTFgerçekle
oz154	KOKTFbildir
oz155	KOKTFkonu
oz156	KOKTFekspres
oz157	KOKTFplan
oz158	KOKTFaktar
oz159	KOKTFtarih
oz160	KOKTFfiyat
oz161	KOKTFbelli
oz162	KOKTFtamamen
oz163	KOKTFkulübe
oz164	KOKTFait
oz165	KOKTFyüzde
oz166	KOKTFi
oz167	KOKTFana
oz168	KOKTFkalem
oz169	KOKTFönem
oz170	KOKTFkýsým
oz171	KOKTFkur
oz172	KOKTFþirket
oz173	KOKTFkarýn
oz174	KOKTFtemettü
oz175	KOKTFdaðýt
oz176	KOKTFtelevizyon
oz177	KOKTFgel
oz178	KOKTFhak
oz179	KOKTFbilgi
oz180	KOKTFvere
oz181	KOKTFnuri
oz182	KOKTFbit
oz183	KOKTFtest
oz184	KOKTFyayýn
oz185	KOKTFsosyal
oz186	KOKTFtesis
oz187	KOKTFise
oz188	KOKTFgir
oz189	KOKTFyeni
oz190	KOKTFmodel
oz191	KOKTFnihat
oz192	KOKTFdeðiþik
oz193	KOKTFaçacak
oz194	KOKTFgider
oz195	KOKTFkýsýtla
oz196	KOKTFdevre
oz197	KOKTFsok
oz198	KOKTFun
oz199	KOKTFharca
oz200	KOKTFkaynak
oz201	KOKTFproje
oz202	KOKTFbaþla
oz203	KOKTFile
oz204	KOKTFaraç
oz205	KOKTFotopark
oz206	KOKTFmerkezi
oz207	KOKTFkültür
oz208	KOKTFmüze
oz209	KOKTFbin
oz210	KOKTFkiþilik
oz211	KOKTFkapalý
oz212	KOKTFspor
oz213	KOKTFsalon
oz214	KOKTFen
oz215	KOKTFkötü
oz216	KOKTFmaç
oz217	KOKTFkiþi
oz218	KOKTFasbaþkan
oz219	KOKTFmurat
oz220	KOKTFartýk
oz221	KOKTFabd
oz222	KOKTFavrupa
oz223	KOKTFgibi
oz224	KOKTFsenet
oz225	KOKTFne
oz226	KOKTFona
oz227	KOKTFbak
oz228	KOKTFgeçen
oz229	KOKTFsene
oz230	KOKTFçok
oz231	KOKTFdönem
oz232	KOKTFbile
oz233	KOKTFyakala
oz234	KOKTFreyting
oz235	KOKTFbeþiktaþ
oz236	KOKTFlider
oz237	KOKTFpuan
oz238	KOKTFgeri
oz239	KOKTFseyirci
oz240	KOKTFoyna
oz241	KOKTFmaðlubiyet
oz242	KOKTFmaðaza
oz243	KOKTFpazar
oz244	KOKTFgünü
oz245	KOKTFo
oz246	KOKTFakþam
oz247	KOKTFyüksek
oz248	KOKTFciro
oz249	KOKTFtürkiye
oz250	KOKTFüç
oz251	KOKTFmuafiyet
oz252	KOKTFýmf
oz253	KOKTFaltýncý
oz254	KOKTFgözde
oz255	KOKTFtamamla
oz256	KOKTFkredi
oz257	KOKTFdilim
oz258	KOKTFserbest
oz259	KOKTFbýrak
oz260	KOKTFtalep
oz261	KOKTFüzeri
oz262	KOKTFzaman
oz263	KOKTFkarþýla
oz264	KOKTFkriter
oz265	KOKTFmuaf
oz266	KOKTFtut
oz267	KOKTFeylül
oz268	KOKTFgerek
oz269	KOKTFkit
oz270	KOKTFatýl
oz271	KOKTFistihdam
oz272	KOKTFazal
oz273	KOKTFgit
oz274	KOKTFyönelik
oz275	KOKTFperformans
oz276	KOKTFekim
oz277	KOKTFson
oz278	KOKTFetkin
oz279	KOKTFartýr
oz280	KOKTFgöster
oz281	KOKTFyasa
oz282	KOKTFay
oz283	KOKTFkabul
oz284	KOKTFkamu
oz285	KOKTFkes
oz286	KOKTFdenge
oz287	KOKTFtoplam
oz288	KOKTFfaiz
oz289	KOKTFdýþ
oz290	KOKTFfazla
oz291	KOKTFmuhatap
oz292	KOKTFbiz
